    7604 24186
    1 10 160
    1 7 1028
    1 5 309
    1 5 11
    1 5 594
    1 5 1316
    1 4 1392
    1 4 1583
    1 4 888
    1 4 637
    1 4 1520
    1 4 18
    1 4 35
    1 3 1901
    1 3 44
    1 3 10
    1 3 783
    1 3 821
    1 3 112
    1 3 964
    1 3 89
    1 3 20
    1 3 256
    1 3 223
    1 2 1881
    1 2 351
    1 2 196
    1 2 416
    1 2 1877
    1 2 87
    1 2 2367
    1 2 3254
    1 2 1573
    1 2 247
    1 2 1353
    1 2 493
    1 2 1358
    1 2 1177
    1 2 1538
    1 2 2296
    1 2 222
    1 2 2282
    1 2 2113
    1 2 2260
    1 2 71
    1 2 142
    1 2 2249
    1 2 1519
    1 2 2227
    1 2 1496
    1 2 519
    1 2 1493
    1 2 1315
    1 2 1750
    1 2 156
    1 2 9
    1 2 1724
    1 2 22
    1 2 15
    1 2 255
    1 2 1267
    1 2 1261
    1 2 57
    1 2 710
    1 2 472
    1 2 152
    1 2 1952
    1 2 1606
    1 2 379
    1 2 4
    1 2 563
    1 2 113
    1 1 744
    1 1 625
    1 1 3422
    1 1 3421
    1 1 3418
    1 1 3402
    1 1 250
    1 1 249
    1 1 2427
    1 1 3414
    1 1 1590
    1 1 3355
    1 1 2305
    1 1 1900
    1 1 3385
    1 1 1147
    1 1 377
    1 1 1072
    1 1 96
    1 1 118
    1 1 3375
    1 1 3367
    1 1 1024
    1 1 709
    1 1 3349
    1 1 1580
    1 1 545
    1 1 146
    1 1 1198
    1 1 1589
    1 1 3341
    1 1 3339
    1 1 2402
    1 1 2401
    1 1 1382
    1 1 3335
    1 1 3317
    1 1 3329
    1 1 3332
    1 1 3330
    1 1 1867
    1 1 1197
    1 1 3319
    1 1 1885
    1 1 1862
    1 1 1886
    1 1 649
    1 1 154
    1 1 3316
    1 1 617
    1 1 3313
    1 1 3300
    1 1 1522
    1 1 2391
    1 1 896
    1 1 3298
    1 1 462
    1 1 3295
    1 1 432
    1 1 3292
    1 1 3290
    1 1 2383
    1 1 1195
    1 1 3283
    1 1 1875
    1 1 3279
    1 1 2378
    1 1 1579
    1 1 291
    1 1 454
    1 1 2375
    1 1 292
    1 1 158
    1 1 3256
    1 1 1846
    1 1 3259
    1 1 1066
    1 1 1061
    1 1 3253
    1 1 1860
    1 1 3247
    1 1 2368
    1 1 151
    1 1 3245
    1 1 1574
    1 1 290
    1 1 1570
    1 1 3233
    1 1 891
    1 1 1856
    1 1 115
    1 1 3215
    1 1 483
    1 1 1365
    1 1 3211
    1 1 3210
    1 1 3189
    1 1 3193
    1 1 1847
    1 1 3202
    1 1 2351
    1 1 1063
    1 1 2352
    1 1 1051
    1 1 3173
    1 1 1843
    1 1 3163
    1 1 1186
    1 1 7341
    1 1 2342
    1 1 3139
    1 1 3167
    1 1 459
    1 1 2338
    1 1 1842
    1 1 2334
    1 1 3156
    1 1 817
    1 1 1840
    1 1 3141
    1 1 1521
    1 1 3149
    1 1 2324
    1 1 1839
    1 1 3143
    1 1 3148
    1 1 3142
    1 1 1060
    1 1 7431
    1 1 1355
    1 1 3134
    1 1 174
    1 1 2315
    1 1 1356
    1 1 3124
    1 1 1835
    1 1 296
    1 1 1180
    1 1 3118
    1 1 1542
    1 1 3113
    1 1 3111
    1 1 3013
    1 1 529
    1 1 1826
    1 1 3103
    1 1 1822
    1 1 3101
    1 1 753
    1 1 3083
    1 1 3088
    1 1 395
    1 1 3084
    1 1 333
    1 1 1339
    1 1 3068
    1 1 3042
    1 1 3078
    1 1 596
    1 1 1796
    1 1 2281
    1 1 3070
    1 1 1442
    1 1 3064
    1 1 194
    1 1 3062
    1 1 701
    1 1 3059
    1 1 124
    1 1 7427
    1 1 3057
    1 1 396
    1 1 2276
    1 1 2273
    1 1 3048
    1 1 523
    1 1 2271
    1 1 95
    1 1 1525
    1 1 2235
    1 1 2261
    1 1 1342
    1 1 331
    1 1 3027
    1 1 3023
    1 1 3026
    1 1 373
    1 1 68
    1 1 1331
    1 1 116
    1 1 2147
    1 1 3020
    1 1 2252
    1 1 179
    1 1 3004
    1 1 491
    1 1 214
    1 1 439
    1 1 3010
    1 1 2090
    1 1 3006
    1 1 810
    1 1 1167
    1 1 697
    1 1 67
    1 1 258
    1 1 1793
    1 1 3000
    1 1 2999
    1 1 1340
    1 1 2996
    1 1 2989
    1 1 1043
    1 1 554
    1 1 1336
    1 1 1337
    1 1 2238
    1 1 178
    1 1 747
    1 1 2966
    1 1 2962
    1 1 474
    1 1 330
    1 1 260
    1 1 2952
    1 1 455
    1 1 2941
    1 1 2947
    1 1 2945
    1 1 2942
    1 1 623
    1 1 1509
    1 1 2926
    1 1 29
    1 1 2217
    1 1 123
    1 1 1510
    1 1 1505
    1 1 2927
    1 1 804
    1 1 2920
    1 1 301
    1 1 2782
    1 1 2907
    1 1 2909
    1 1 958
    1 1 1148
    1 1 1502
    1 1 2904
    1 1 955
    1 1 874
    1 1 2898
    1 1 1500
    1 1 2198
    1 1 1320
    1 1 1760
    1 1 1494
    1 1 2178
    1 1 2892
    1 1 636
    1 1 1034
    1 1 276
    1 1 2876
    1 1 1318
    1 1 259
    1 1 2881
    1 1 117
    1 1 1492
    1 1 2185
    1 1 1313
    1 1 1491
    1 1 2870
    1 1 1309
    1 1 2181
    1 1 2858
    1 1 2177
    1 1 1749
    1 1 2848
    1 1 1458
    1 1 951
    1 1 1029
    1 1 2176
    1 1 347
    1 1 2846
    1 1 2845
    1 1 370
    1 1 2173
    1 1 2844
    1 1 1302
    1 1 2167
    1 1 2837
    1 1 517
    1 1 2826
    1 1 2166
    1 1 2163
    1 1 1742
    1 1 2830
    1 1 1295
    1 1 2823
    1 1 2632
    1 1 2820
    1 1 2814
    1 1 796
    1 1 1736
    1 1 1025
    1 1 1482
    1 1 1483
    1 1 2152
    1 1 2810
    1 1 2149
    1 1 2808
    1 1 2144
    1 1 2806
    1 1 1128
    1 1 38
    1 1 2801
    1 1 736
    1 1 2136
    1 1 2795
    1 1 2793
    1 1 1288
    1 1 1436
    1 1 2498
    1 1 7603
    1 1 2786
    1 1 2784
    1 1 587
    1 1 2783
    1 1 2780
    1 1 944
    1 1 305
    1 1 2779
    1 1 2775
    1 1 346
    1 1 683
    1 1 2772
    1 1 2129
    1 1 75
    1 1 2771
    1 1 175
    1 1 1136
    1 1 1283
    1 1 2127
    1 1 2767
    1 1 2764
    1 1 2763
    1 1 2093
